func,seed,variant,final,dup_frac
1,13,P14_buggy,300.8992004394531,0.2925
1,13,NoRay_fixed,17215.962890625,0.9975
1,13,NoRay_buggy,17210.314453125,0.9975
1,14,P14_fixed,320.2568664550781,0.04249999999999998
1,14,P14_buggy,300.0177307128906,0.2925
1,14,NoRay_fixed,17596.888671875,0.9975
1,14,NoRay_buggy,19804.3359375,0.9725
2,0,P14_fixed,454.7210693359375,0.0
2,0,P14_buggy,445.3819885253906,0.29000000000000004
2,0,NoRay_fixed,1423.6005859375,0.9575
2,0,NoRay_buggy,1512.50439453125,0.99
2,1,P14_fixed,405.7315368652344,0.012499999999999956
2,1,P14_buggy,473.02667236328125,0.26749999999999996
2,1,NoRay_fixed,1420.453125,0.995
2,1,NoRay_buggy,1177.11376953125,0.955
2,2,P14_fixed,456.75201416015625,0.010000000000000009
2,2,P14_buggy,445.8592529296875,0.3025
2,2,NoRay_fixed,1005.6078491210938,0.99
2,2,NoRay_buggy,1168.246826171875,0.8975
2,3,P14_fixed,467.212890625,0.0050000000000000044
2,3,P14_buggy,447.2412109375,0.2975
2,3,NoRay_fixed,1508.6298828125,0.99
2,3,NoRay_buggy,1318.427978515625,0.995
2,4,P14_fixed,452.4413146972656,0.0
2,4,P14_buggy,457.4152526855469,0.2875
2,4,NoRay_fixed,1317.5926513671875,0.9625
2,4,NoRay_buggy,1757.81103515625,0.99
2,5,P14_fixed,451.443115234375,0.0050000000000000044
2,5,P14_buggy,403.4963684082031,0.2975
2,5,NoRay_fixed,1128.5538330078125,0.9925
2,5,NoRay_buggy,1105.577880859375,0.935
2,6,P14_fixed,421.91180419921875,0.012499999999999956
2,6,P14_buggy,471.40771484375,0.245
2,6,NoRay_fixed,1590.117431640625,0.97
2,6,NoRay_buggy,1727.2696533203125,0.99
2,7,P14_fixed,471.94329833984375,0.0024999999999999467
2,7,P14_buggy,403.11767578125,0.24750000000000005
2,7,NoRay_fixed,1409.932861328125,0.995
2,7,NoRay_buggy,1417.457275390625,0.995
2,8,P14_fixed,403.8924255371094,0.0024999999999999467
2,8,P14_buggy,400.52618408203125,0.25749999999999995
2,8,NoRay_fixed,1444.1474609375,0.99
2,8,NoRay_buggy,1529.7144775390625,0.9975
2,9,P14_fixed,474.87957763671875,0.0024999999999999467
2,9,P14_buggy,452.9178466796875,0.2875
2,9,NoRay_fixed,1549.5860595703125,0.9875
2,9,NoRay_buggy,1763.6505126953125,0.99
2,10,P14_fixed,453.57061767578125,0.0
2,10,P14_buggy,411.0530090332031,0.30000000000000004
2,10,NoRay_fixed,1542.8143310546875,0.9975
2,10,NoRay_buggy,1594.5535888671875,0.995
2,11,P14_fixed,471.77044677734375,0.0024999999999999467
2,11,P14_buggy,400.87030029296875,0.28
2,11,NoRay_fixed,1407.498291015625,0.96
2,11,NoRay_buggy,1449.2396240234375,0.9975
2,12,P14_fixed,401.59912109375,0.0024999999999999467
2,12,P14_buggy,402.02264404296875,0.31499999999999995
2,12,NoRay_fixed,1234.3753662109375,0.9825
2,12,NoRay_buggy,1702.0133056640625,0.9975
2,13,P14_fixed,458.0738525390625,0.0024999999999999467
2,13,P14_buggy,448.56353759765625,0.28
2,13,NoRay_fixed,1338.84130859375,0.9575
2,13,NoRay_buggy,1428.217041015625,0.9775
2,14,P14_fixed,460.1842956542969,0.007499999999999951
2,14,P14_buggy,468.90533447265625,0.28500000000000003
2,14,NoRay_fixed,1602.850830078125,0.98
2,14,NoRay_buggy,1946.959716796875,0.98
3,0,P14_fixed,603.2905883789062,0.015000000000000013
3,0,P14_buggy,622.9594116210938,0.3025
3,0,NoRay_fixed,655.158447265625,0.8725
3,0,NoRay_buggy,663.2264404296875,0.98
3,1,P14_fixed,605.6695556640625,0.010000000000000009
3,1,P14_buggy,630.4118041992188,0.3125
3,1,NoRay_fixed,652.882080078125,0.995
3,1,NoRay_buggy,652.585205078125,0.87
3,2,P14_fixed,608.8550415039062,0.012499999999999956
3,2,P14_buggy,614.6022338867188,0.24250000000000005
3,2,NoRay_fixed,647.7960205078125,0.9975
3,2,NoRay_buggy,648.4794921875,0.895
3,3,P14_fixed,610.08349609375,0.0050000000000000044
3,3,P14_buggy,615.9852294921875,0.3025
3,3,NoRay_fixed,645.7269897460938,0.91
3,3,NoRay_buggy,649.6119384765625,0.94
3,4,P14_fixed,611.1212768554688,0.0050000000000000044
3,4,P14_buggy,623.680419921875,0.23250000000000004
3,4,NoRay_fixed,648.6470947265625,0.9225
3,4,NoRay_buggy,657.161376953125,0.95
3,5,P14_fixed,610.7670288085938,0.0
3,5,P14_buggy,625.4332885742188,0.38249999999999995
3,5,NoRay_fixed,648.2739868164062,0.995
3,5,NoRay_buggy,654.9789428710938,0.995
3,6,P14_fixed,613.7964477539062,0.012499999999999956
3,6,P14_buggy,622.6737060546875,0.25749999999999995
3,6,NoRay_fixed,652.3313598632812,0.95
